Date,Samsung,Apple,Tecno,Huawei,Xiaomi,Infinix,Oppo,Unknown,Itel,Realme,Nokia,Vivo,Honor,Google,LG,Motorola,Hisense,Lenovo,Infinex,ZTE,Sony,BBK,OnePlus,Alcatel,Gionee,TCL,Vodafone,HTC,Safaricom,Condor,Lava,Sharp,Wiko,Meizu,CAT,Mobicel,Unitel,Asus,White Label,Fujitzu,bq,Caterpillar,Other,region,Mixc,T-Mobile,Kyocera,Blu,Cricket,AT&T,Sumsung,Coolpad,Boost,Schok,Unimax,Nothing,General Mobile,Vsmart,Casper,Reeder,Vestel,Jio,Micromax
2022,32.9,13.9,9.1,12.51,6.08,6.35,5.16,4.03,2.13,1.4,1.67,0.91,0.08,0.18,0.45,0.21,0.25,0.45,0.41,0.1,0.27,0.06,0.13,0.09,0.14,0.01,0.13,0.15,0.1,0.15,0.03,0.04,0.07,0.03,0.03,0.06,0,0.03,0.03,0,0.02,0.02,0.15,af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,32.27,13.79,10.04,9.78,6.44,6.3,5.73,4.89,2.85,1.8,1.56,1.19,0.29,0.25,0.29,0.25,0.32,0.22,0.29,0.14,0.19,0.09,0.13,0.12,0.1,0.03,0.08,0.06,0.07,0.06,0.02,0.04,0.05,0.03,0.04,0.03,0,0.03,0.03,0.01,0.02,0.01,0.09,af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,30.81,12.36,12.23,7.31,6.82,6.94,5.57,4.48,4.65,2.11,1.15,1.37,0.89,0.42,0.24,0.32,0.25,0.2,0.14,0.27,0.15,0.24,0.12,0.09,0.07,0.14,0.03,0.03,0.05,0.03,0.09,0.06,0.03,0.04,0.03,0.01,0.05,0.03,0.01,0.03,0.01,0.01,0.08,af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,32.4,13.38,10.1,6.33,7.43,6.22,5.43,5.33,3.61,2.48,0.83,1.55,1.66,0.81,0.19,0.38,0.19,0.13,0,0.31,0.13,0.24,0.16,0.05,0.05,0.1,0.02,0.02,0.02,0.01,0.09,0.05,0.02,0.02,0.02,0.01,0.08,0.02,0.01,0.02,0,0.01,0.12,af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,42.82,11.96,0.37,4.65,13.19,0.17,0.17,0.78,0,0.37,0.48,0.31,0.05,0.09,4.14,18.52,NA,0.23,NA,0.41,0.13,NA,0.08,0.24,NA,0.01,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.11,sa,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,40.09,15.15,0.69,2.92,13.79,0.43,0.33,3.77,0,0.43,0.39,0.44,0.21,0.13,2.31,17.46,NA,0.19,NA,0.4,0.07,NA,0.08,0.19,NA,0.04,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,0.06,sa,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,36.82,14.98,1.32,1.5,15.98,0.96,0.46,5.15,0.03,0.73,0.28,0.43,0.59,0.2,1.38,18.13,NA,0.14,NA,0.31,0.04,NA,0.07,0.09,NA,0.13,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,0.04,sa,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,32.49,12.36,3.48,0.79,16.62,2.31,0.6,8.72,0.08,1.14,0.15,0.42,1,2.45,0.74,15.92,NA,0.07,NA,0.28,0.01,NA,0.05,0.02,NA,0.13,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,0.02,sa,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,29.14,53.62,0.05,1.44,1.51,0.06,0.38,1.02,0.01,0.16,0.2,0.2,0.02,2.18,2.47,5.33,NA,0.12,NA,0.26,0.06,NA,0.8,0.11,NA,0.1,NA,0.03,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.03,NA,NA,NA,NA,0.11,na,0.03,0.24,0.07,0.02,0.03,0.04,0.05,0.04,0.01,0.01,0.03,NA,NA,NA,NA,NA,NA,NA,NA
2023,27.06,55.39,0.1,0.97,1.69,0.1,0.47,3.02,0.02,0.2,0.2,0.25,0.1,2.19,1.38,4.83,NA,0.1,NA,0.2,0.04,NA,0.7,0.06,NA,0.14,NA,0.05,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.02,NA,NA,NA,NA,0.09,na,0.02,0.25,0.06,0.08,0.06,0.04,0.03,0.02,0.03,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA
